LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion
191,TUR,Turkey,,6,0,0,38.9637,35.2433,82255772,770596.3236,0.07
192,UKR,Ukraine,,3,1,0,48.3794,31.1656,43679303,586209.4169,0.07
193,ARE,United Arab Emirates,,98,0,23,23.4241,53.8478,9822013,79565.92533,9.98
194,GBR,United Kingdom of Great Britain and Northern Ireland,,1140,21,18,55.3781,-3.436,66700922,241696.5669,17.09
233,US,United States,Alabama,12,0,0,32.3182,-86.9023,4908621,131170.0436,2.44
250,US,United States,Alaska,1,0,0,61.3707,-152.4044,734002,1477954.484,1.36
234,US,United States,Arizona,13,0,1,33.7298,-111.4312,7378494,294207.3241,1.76
230,US,United States,Arkansas,16,0,0,34.9697,-92.3731,3038999,134770.1297,5.26
200,US,United States,California,426,6,6,36.1162,-119.6816,39937489,403466.0522,10.67
203,US,United States,Colorado,131,1,0,39.0598,-105.3111,5845526,268431.7436,22.41
220,US,United States,Connecticut,24,0,0,41.5978,-72.7554,3563077,12540.73158,6.74
239,US,United States,Delaware,7,0,0,39.3185,-75.5071,982895,5047.89051,7.12
210,,United States,Diamond Princess,46,0,0,35.4437,139.638,.,.,.
231,US,United States,District of Columbia,16,0,0,38.8974,-77.0268,720687,157.98939,22.2
202,US,United States,Florida,115,4,0,27.7663,-81.6868,21992985,138888.2138,5.23
204,US,United States,Georgia,99,1,0,33.0406,-83.6431,10736059,148958.0949,9.22
222,,United States,Grand Princess,21,0,0,37.6489,-122.6655,.,.,.
240,US,United States,Hawaii,6,0,0,21.0943,-157.4983,1412687,16635.50577,4.25
243,US,United States,Idaho,5,0,0,44.2405,-114.4788,1826156,214044.5436,2.74
207,US,United States,Illinois,93,0,2,40.3495,-88.9861,12659682,143793.6548,7.35
224,US,United States,Indiana,20,0,0,39.8494,-86.2583,6745354,92788.98174,2.97
227,US,United States,Iowa,18,0,0,42.0115,-93.2105,3179849,144669.0714,5.66
236,US,United States,Kansas,8,1,0,38.5266,-96.7265,2910357,211754.9924,2.75
228,US,United States,Kentucky,20,0,0,37.6681,-84.6701,4499692,102268.3451,4.44
205,US,United States,Louisiana,91,2,0,31.1695,-91.8678,4645184,111897.928,19.59
241,US,United States,Maine,12,0,0,44.6939,-69.3819,1345790,79883.06157,8.92
217,US,United States,Maryland,32,0,0,39.0639,-76.8021,6083116,25141.03293,5.26
201,US,United States,Massachusetts,164,0,1,42.2302,-71.5301,6976597,20201.922,23.51
214,US,United States,Michigan,33,0,0,43.3266,-84.5361,10045029,146435.4446,3.29
213,US,United States,Minnesota,35,0,0,45.6945,-93.9002,5700671,206233.1337,6.14
242,US,United States,Mississippi,10,0,0,32.7416,-89.6787,2989260,121530.1008,3.35
244,US,United States,Missouri,5,0,0,38.4561,-92.2884,6169270,178041.0926,0.81
237,US,United States,Montana,7,0,0,46.9219,-110.4544,1086759,376962.6845,6.44
229,US,United States,Nebraska,17,0,0,41.1254,-98.2681,1952570,198973.3918,8.71
223,US,United States,Nevada,24,0,0,38.3135,-117.0554,3139658,284331.6922,7.64
238,US,United States,New Hampshire,13,0,0,43.4525,-71.5639,1371246,23188.18047,9.48
206,US,United States,New Jersey,98,2,0,40.2989,-74.521,8936574,19046.78646,10.97
232,US,United States,New Mexico,13,0,0,34.8405,-106.2485,2096640,314160.607,6.2
198,US,United States,New York,732,3,0,42.1657,-74.9481,19440469,122055.8687,37.65
215,US,United States,North Carolina,33,0,0,35.6301,-79.8064,10611862,125920.1338,3.11
251,US,United States,North Dakota,1,0,0,47.5289,-99.784,761723,178711.9,1.31
218,US,United States,Ohio,37,0,0,40.3888,-82.7649,11747694,105829.5814,3.15
246,US,United States,Oklahoma,7,0,0,35.5653,-96.9289,3954821,177660.3641,1.77
212,US,United States,Oregon,36,1,0,44.572,-122.0709,4301089,248607.9601,8.37
209,US,United States,Pennsylvania,66,0,0,40.5908,-77.2098,12820878,115883.9226,5.15
225,US,United States,Rhode Island,20,0,0,41.6809,-71.5118,1056161,2678.04966,18.94
226,US,United States,South Carolina,28,0,0,33.8569,-80.945,5210095,77857.68939,5.37
235,US,United States,South Dakota,9,1,0,44.2998,-99.4388,903027,196349.7319,9.97
216,US,United States,Tennessee,39,0,0,35.7478,-86.6923,6897576,106798.2377,5.65
208,US,United States,Texas,72,0,0,31.0545,-97.5635,29472295,676588.2677,2.44
221,US,United States,Utah,28,0,0,40.15,-111.8624,3282115,212819.4783,8.53
245,US,United States,Vermont,8,0,0,44.0459,-72.7107,628061,23871.93783,12.74
211,US,United States,Virginia,45,1,0,37.7693,-78.17,8626207,102278.7051,5.22
199,US,United States,Washington,643,40,1,47.4009,-121.4905,7797095,172120.3754,82.47
253,US,United States,West Virginia,0,0,0,38.4912,-80.9545,1778070,62258.17962,0
219,US,United States,Wisconsin,32,0,1,44.2685,-89.6165,5851754,140268.6784,5.47
249,US,United States,Wyoming,3,0,0,42.756,-107.3025,567025,251469.8991,5.29
252,VIR,United States Virgin Islands,,1,0,0,18.3358,-64.8963,107016,362.5222542,9.34
197,URY,Uruguay,,4,0,0,-32.5228,-55.7658,3494819,174772.9719,1.14
254,UZB,Uzbekistan,,1,0,0,41.3775,64.5853,31767437,428650.2341,0.03
255,VEN,Venezuela (Bolivarian Republic of),,10,0,0,6.4238,-66.5897,33116328,905593.4328,0.3
256,VNM,Viet Nam,,56,0,16,14.0583,108.2772,98156607,326515.5615,0.57
