Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,LOC_id
,Malta,2020-03-11T11:33:08,6,0,0,35.9375,14.3754,147
,Cyprus,2020-03-11T18:52:03,6,0,0,35.1264,33.4299,148
,Morocco,2020-03-12T01:33:03,6,1,0,31.7917,-7.0926,149
Arkansas,US,2020-03-12T21:39:10,6,0,0,34.9697,-92.3731,150
New Hampshire,US,2020-03-12T21:39:10,6,0,0,43.4525,-71.5639,151
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886,152
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,153
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627,154
Rhode Island,US,2020-03-11T03:13:08,5,0,0,41.6809,-71.5118,155
,Paraguay,2020-03-11T04:33:03,5,0,0,-23.4425,-58.4438,156
Ohio,US,2020-03-12T09:33:03,5,0,0,40.3888,-82.7649,157
Connecticut,US,2020-03-12T23:44:33,5,0,0,41.5978,-72.7554,158
New Mexico,US,2020-03-12T23:44:33,5,0,0,34.8405,-106.2485,159
Utah,US,2020-03-12T23:44:33,5,0,0,40.15,-111.8624,160
,Senegal,2020-03-08T20:23:08,4,0,1,14.4974,-14.4524,161
,Armenia,2020-03-12T21:39:09,4,0,0,40.0691,45.0382,162
,Bangladesh,2020-03-10T06:19:32,3,0,0,23.685,90.3563,163
,Lithuania,2020-03-11T02:18:26,3,0,0,55.1694,23.8813,164
,Martinique,2020-03-11T02:18:29,3,0,0,14.6415,-61.0242,165
,Cambodia,2020-03-11T09:33:12,3,0,1,12.5657,104.991,166
,Moldova,2020-03-11T18:52:03,3,0,0,47.4116,28.3699,167
Tasmania,Australia,2020-03-11T18:52:04,3,0,0,-41.4545,145.9707,168
,Cuba,2020-03-12T05:53:03,3,0,0,22,-80,169
,Cameroon,2020-03-08T05:23:03,2,0,0,3.848,11.5021,170
,Nigeria,2020-03-09T09:43:03,2,0,0,9.082,8.6753,171
Hawaii,US,2020-03-10T03:13:17,2,0,0,21.0943,-157.4983,172
Oklahoma,US,2020-03-10T17:13:25,2,0,0,35.5653,-96.9289,173
Michigan,US,2020-03-11T03:33:05,2,0,0,43.3266,-84.5361,174
,Burkina Faso,2020-03-11T09:33:12,2,0,0,12.2383,-1.5616,175
,Sri Lanka,2020-03-11T09:33:12,2,0,1,7.8731,80.7718,176
,Bolivia,2020-03-11T18:52:03,2,0,0,-16.2902,-63.5887,177
,Honduras,2020-03-11T18:52:03,2,0,0,15.2,-86.2419,178
